position,artist,song,year,raw_total,raw_usa,raw_uk,raw_eur,raw_row
117,t.A.T.u.,"All the Things She Said",2003,21.2610,3.3810,7.0360,15.1840,2.8570
118,"Take That","Back For Good",1995,21.1400,2.4140,9.5190,15.8520,2.0900
119,"The Beatles","Hello, Goodbye",1967,21.0840,7.5740,11.5040,11.5200,1.0490
120,Chicago,"If You Leave Me Now",1976,21.0720,7.8200,12.9470,12.5640,0.8330
121,Aqua,"Barbie Girl",1997,21.0120,3.1720,8.9820,19.6150,1.0590
122,"Gnarls Barkley",Crazy,2006,20.9830,8.2480,5.9630,12.7390,1.0790
123,Blondie,"Call Me",1980,20.9560,16.6320,7.0550,8.2310,0.5240
124,"Whitney Houston","I Wanna Dance With Somebody (Who Loves Me)",1987,20.9020,7.3080,10.0930,17.1320,0.5260
125,"Elton John & Kiki Dee","Don't Go Breaking My Heart",1976,20.8830,7.3870,15.2890,10.8220,0.6670
126,"Ace of Base","All That She Wants",1993,20.8740,5.4640,6.5140,17.7790,2.7430
127,"Boney M","Rivers of Babylon",1978,20.8730,0.7340,14.0150,22.2880,0.5260
128,"Michael Jackson","Black Or White",1991,20.8630,6.3030,8.5420,18.0880,2.6340
129,"Simon & Garfunkel","Bridge Over Troubled Water",1970,20.8630,20.3740,10.5420,5.5210,0.6770
130,Chic,"Le Freak",1979,20.8570,13.2490,11.5780,9.6430,0.7600
131,TLC,"No Scrubs",1999,20.8180,7.5980,8.9850,8.1960,2.0670
132,"Nancy Sinatra","These Boots Are Made For Walking",1966,20.7990,10.2660,13.4350,8.6240,0.5100
133,"Ray Charles","I Can't Stop Loving You",1962,20.7770,14.4120,7.0940,3.3880,0.7500
134,"Meat Loaf","I'd Do Anything For Love (But I Won't Do That)",1993,20.7510,5.0830,10.1090,16.7900,0.5370
135,"Chubby Checker","Let's Twist Again",1961,20.7440,6.1270,4.6920,10.6690,0.8330
136,"Percy Faith","Theme From 'A Summer Place'",1960,20.7390,15.6080,3.6490,2.3330,1.5000
137,LMFAO,"Party Rock Anthem",2011,20.7220,8.5410,7.5000,5.0500,0.0000
138,"James Blunt","You're Beautiful",2005,20.7190,7.5550,4.0000,14.7650,2.3730
139,"Don McLean","American Pie",1972,20.7020,17.7120,11.5880,4.0610,0.5100
140,"Ben E King","Stand By Me",1961,20.6840,14.5430,5.3600,5.0540,0.0100
141,"Bryan Adams, Rod Stewart & Sting","All For Love",1994,20.6220,5.2140,6.6000,19.3490,1.7570
142,Pink,"So What",2008,20.6070,5.2550,8.5000,11.7030,0.5180
143,"Phil Collins","Another Day in Paradise",1989,20.5840,8.6670,5.0050,20.8070,3.0330
144,"Paul McCartney & Stevie Wonder","Ebony & Ivory",1982,20.4970,7.8660,8.1330,14.8550,0.5830
145,"Lady GaGa & Colby O'Donis","Just Dance",2008,20.4590,7.5560,7.7430,9.1120,0.6250
146,"Eiffel 65","Blue (Da Ba Dee)",1999,20.4480,2.4570,9.4550,22.1020,0.5560
147,"Petula Clark",Downtown,1965,20.4470,13.2740,7.5040,7.6320,0.5370
148,"Michael Jackson","Beat It",1983,20.3260,9.9480,7.0760,15.0680,0.6250
149,"The Human League","Don't You Want Me",1982,20.2940,7.9540,12.2980,8.0470,1.0320
150,"Rick Astley","Never Gonna Give You Up",1987,20.2850,5.9410,13.0560,13.9670,0.5320
151,Londonbeat,"I've Been Thinking About You",1990,20.2690,5.1810,5.2500,20.6150,1.7150
152,"The Kingston Trio","Tom Dooley",1958,20.2030,9.1070,5.0250,7.2560,0.0000
153,"Bing Crosby & The Andrews Sisters","Don't Fence Me In",1944,20.0520,10.8290,4.5000,0.7000,0.5180
154,Berlin,"Take My Breath Away",1986,20.0340,10.7790,6.9620,11.1140,1.0000
155,Beyonce,Irreplaceable,2006,20.0270,11.5140,5.7930,5.4320,1.1680
156,Nirvana,"Smells Like Teen Spirit",1992,19.9170,11.1650,4.4520,13.1010,1.9780
157,U2,"Beautiful Day",2000,19.8890,7.5540,6.5360,13.3190,1.5120
158,"Dinah Shore","Buttons & Bows",1948,19.8510,9.6040,4.5000,0.5110,0.5370
159,"Avril Lavigne",Girlfriend,2007,19.8340,5.8230,6.5000,7.0910,3.5480
160,"George McCrae","Rock Your Baby",1974,19.7990,7.4860,7.8580,15.0270,0.5660
161,"Gloria Gaynor","I Will Survive",1979,19.7270,15.0350,8.9660,7.6010,0.6670
162,"Mariah Carey","Without You",1994,19.6610,4.4020,6.3180,19.5230,1.7330
163,Abba,Waterloo,1974,19.5440,6.3990,7.0070,17.4250,0.0100
164,"Les Paul & Mary Ford","Vaya Con Dios (may God Be With You)",1953,19.5250,12.5680,2.8430,1.5100,0.7000
165,"Vanilla Ice","Ice Ice Baby",1990,19.4870,5.5160,7.9690,13.9220,1.1140
166,"Anton Karas","Third Man Theme",1950,19.4800,9.0780,5.2500,1.5910,0.5430
167,Abba,Fernando,1976,19.4700,3.4340,13.0960,16.4650,0.0100
168,"R Kelly","I Believe I Can Fly",1997,19.4480,7.8630,5.9020,11.5730,1.0370
169,"Avril Lavigne",Complicated,2002,19.4320,5.4690,6.4190,10.9290,2.1740
170,"The Beatles","Penny Lane",1967,19.3650,12.4570,11.0650,7.6240,0.5630
171,"Eminem & Rihanna","Love The Way You Lie",2010,19.3530,5.3230,7.0000,6.5670,0.0000
172,Adele,"Rolling In The Deep",2011,19.3220,11.2360,3.2000,5.2000,0.0000
173,"Doris Day","Secret Love",1954,19.3180,12.2030,5.1430,0.5190,0.5590
174,"Olivia Newton-John","(Let's Get) Physical",1981,19.3080,12.7690,6.2370,8.9450,1.0000
175,"Boyz II Men","I'll Make Love to You",1994,19.2910,9.5440,5.8250,4.4040,3.0770
176,"Madonna & Justin Timberlake","Four Minutes",2008,19.2710,4.0560,6.5670,14.3550,0.5320
177,"Bryan Adams","Have You Ever Really Loved a Woman?",1995,19.2500,6.0980,5.2500,13.9900,1.3750
178,"MC Hammer","U Can't Touch This",1990,19.2350,6.9390,5.8330,13.1900,2.0470
179,"Gotye & Kimbra","Somebody That I Used to Know",2012,19.2260,8.0990,5.5000,7.0000,0.0000
180,Starsound,"Stars On 45",1981,19.1730,5.9470,10.1000,15.3110,0.5110
181,"Lipps Inc",Funkytown,1980,19.1170,9.7950,7.3110,17.9640,0.0000
182,"Nat King Cole","Too Young",1951,19.1080,12.7770,3.0000,0.5330,0.6430
183,"The Backstreet Boys","I Want it That Way",1999,19.0960,5.5360,4.3130,16.3740,2.1560
184,"Celine Dion","Because You Loved Me",1996,19.0830,9.5540,4.2000,6.0370,2.6440
185,Falco,"Rock Me Amadeus",1986,19.0490,5.4620,10.5830,16.5670,0.5500
186,"Bruno Mars",Grenade,2011,19.0470,7.7910,6.5480,5.0240,0.0000
187,"The Beach Boys","Good Vibrations",1966,19.0030,17.4340,10.1200,7.0980,0.0000
188,"Bee Gees","(The Lights Went Out In) Massachusetts",1967,19.0020,2.5070,8.7630,11.3800,2.5730
189,"Dionne Warwick & Friends","That's What Friends Are For",1986,19.0020,13.2480,7.2050,4.2230,0.6000
190,"The Animals","House of the Rising Sun",1964,18.9680,14.9820,8.0210,5.4140,0.5910
191,"Britney Spears",Toxic,2004,18.9410,7.0780,7.0210,9.0140,1.1720
192,"Cyndi Lauper","Girls Just Wanna Have Fun",1984,18.9270,9.5570,9.9440,10.4770,0.5670
193,Pink,"Get the Party Started",2002,18.8950,5.6070,6.5360,10.5300,1.6520
194,"Tennessee Ernie Ford","Sixteen Tons",1955,18.8430,11.5090,5.0010,0.8330,0.6430
195,"Mary Hopkin","Those Were the Days",1968,18.8400,7.7280,9.3430,13.2410,1.0910
196,"The Beatles","I Feel Fine",1964,18.8370,9.8130,10.8260,6.6710,0.5630
197,"Jo Stafford","You Belong to Me",1952,18.8370,12.1500,8.0100,0.0000,0.0000
198,"The Beatles","Paperback Writer",1966,18.8330,10.5220,10.0840,8.3310,0.5100
199,"Lynn Anderson","I Beg Your Pardon (I Never Promised You a Rose Garden)",1971,18.8070,7.8720,11.4460,11.4120,0.5670
200,"Tina Turner","What's Love Got to Do With It?",1984,18.8070,11.8450,8.4550,7.4170,0.5190
201,"Band Aid","Do They Know It's Christmas?",1984,18.7910,3.7560,13.6380,17.7710,0.5260
202,"The Rolling Stones","Honky Tonk Woman",1969,18.7880,15.8730,11.7920,6.9020,0.5290
203,"Mariah Carey & Boyz II Men","One Sweet Day",1995,18.7850,9.1430,5.1970,4.6310,1.8900
204,"Roberta Flack","Killing Me Softly With His Song",1973,18.7050,14.3070,9.8520,3.9260,0.6670
205,"Katy Perry","Hot 'n' cold",2008,18.6410,5.2900,3.9130,15.7780,0.5560
206,TLC,Waterfalls,1995,18.6310,10.1700,3.3950,7.4230,1.2310
207,Roxette,"It Must Have Been Love",1990,18.6110,5.6330,5.9620,13.7900,2.0990
208,"Bee Gees",Tragedy,1979,18.6070,6.8300,11.8310,14.5760,0.6250
209,"The Beatles","A Hard Day's Night",1964,18.5810,10.2000,11.4080,5.7640,0.6670
210,"Los Lobos","La Bamba",1987,18.5460,7.1790,10.5590,11.0130,0.5370
211,"The Chordettes","Mister Sandman",1954,18.5330,13.9940,5.0910,0.0000,0.5370
212,"Rod Stewart","Maggie May",1971,18.5010,16.3060,11.7470,3.6920,0.6110
213,"Phil Collins","A Groovy Kind of Love",1988,18.4760,5.1020,8.9690,13.0100,1.1560
214,"Zager & Evans","In the Year 2525 (Exordium & Terminus)",1969,18.4630,9.3380,11.0540,12.0220,0.5150
215,"Mariah Carey",Fantasy,1995,18.4630,6.4510,6.2920,5.9320,2.6530
216,"George Michael",Faith,1987,18.4550,9.4460,7.3980,10.8780,0.5260
217,Foreigner,"I Want to Know What Love Is",1985,18.4500,6.9710,13.0400,11.3160,0.5830
218,"Elvis Presley","Heartbreak Hotel",1956,18.4480,15.5360,2.2950,1.1630,0.5270
219,"Beyonce & Shakira","Beautiful Liar",2007,18.4390,3.8760,5.5200,13.9730,1.4170
220,"Elvis Presley","Suspicious Minds",1969,18.4230,14.4560,14.5700,5.6530,0.5220
221,"Elton John","Crocodile Rock",1973,18.4100,8.6010,8.1500,10.0920,0.5630
222,Madonna,"Papa Don't Preach",1986,18.3980,6.3180,9.1400,15.3310,0.5140
223,"Toni Braxton","Un-Break My Heart",1996,18.3730,6.7800,2.9250,13.1760,2.6280
224,"The Black Eyed Peas","Shut Up",2003,18.3720,1.2830,6.5630,19.5240,0.7000
225,"Eric Clapton","Tears in Heaven",1992,18.3510,10.9590,5.7050,5.5460,2.0960
226,"Carly Simon","You're So Vain",1973,18.3040,12.9070,10.9500,3.9110,0.5210
227,"Will Smith","Men in Black",1997,18.2950,2.2990,8.0690,15.2500,1.8500
228,Evanescence,"Bring Me to Life",2003,18.2760,5.5430,4.0000,13.2370,1.6870
229,"Diana Ross & Lionel Richie","Endless Love",1981,18.2540,15.3660,6.4350,3.8650,0.7000
230,"David Bowie","Let's Dance",1983,18.2470,7.1220,9.0420,19.8810,0.0000
231,"Steve Miller Band",Abracadabra,1982,18.2230,7.6910,7.8380,11.3700,0.5180
232,"Wet Wet Wet","Love is All Around",1994,18.2030,1.0490,9.7670,16.6300,1.7720
233,Akon,Lonely,2005,18.1950,3.5960,6.5830,13.8930,1.6700
234,"Michael Jackson","You Are Not Alone",1995,18.1870,4.5820,6.2920,13.5480,1.1270
235,"Christina Aguilera","Genie in a Bottle",1999,18.1720,5.5760,4.0860,16.1340,1.5680
236,"Everything But The Girl",Missing,1996,18.1670,5.4810,4.3290,15.9310,1.5810
237,"Savage Garden","Truly Madly Deeply",1998,18.1370,6.9050,7.1550,7.5520,1.7090
238,"The Mills Brothers","Paper Doll",1943,18.0930,12.5300,1.0000,0.8330,0.5270
239,"Bobby McFerrin","Don't Worry Be Happy",1988,18.0520,7.1350,5.4500,13.3460,1.0860
240,"Bee Gees","How Deep is Your Love?",1978,18.0300,10.4450,7.9360,7.9830,1.2110
241,"Alicia Keys",Fallin',2001,18.0180,8.1030,2.8540,12.6640,1.0740
242,Eamon,"F**k it (I Don't Want You Back)",2004,18.0020,2.8950,7.0340,16.2640,0.5200
243,Shaggy,Boombastic,1995,17.9730,4.0050,7.3750,12.2970,1.0460
244,"Patti Page","Tennessee Waltz",1950,17.9100,13.9690,3.0000,0.0000,0.5300
245,"Frankie Goes To Hollywood",Relax,1984,17.8580,5.6640,9.4890,17.4090,0.5250
246,"Lady GaGa","Bad Romance",2009,17.8470,8.4460,5.1380,12.2020,0.5120
247,"Elvis Presley","Hound Dog",1956,17.8400,14.8920,1.6670,1.6080,0.5690
248,Madonna,Frozen,1998,17.7890,4.5790,2.7770,16.7050,2.5440
249,"Christina Aguilera",Beautiful,2003,17.7770,5.3640,8.0270,7.0840,1.0300
250,Chumbawamba,Tubthumping,1997,17.7660,4.3240,9.4880,7.3840,1.5830
251,"Fats Domino","Blueberry Hill",1956,17.7090,11.5730,0.6670,4.5760,0.5140
252,"Elvis Presley & JXL","A Little Less Conversation",2002,17.6740,1.8210,10.0290,10.9920,1.3550
253,"Domenico Modugno",Volare,1958,17.6700,9.7190,4.4670,3.0290,0.7000
254,"Alicia Keys","No One",2007,17.6320,8.3530,2.2880,10.2070,2.0670
255,"Donna Summer","Hot Stuff",1979,17.6190,13.0750,6.3010,9.2900,0.5120
256,"The Pet Shop Boys","West End Girls",1986,17.6150,7.7040,9.5570,8.2520,1.0340
257,"The Bangles","Walk Like an Egyptian",1986,17.5800,9.6340,7.6020,8.3700,0.5200
258,"Mariah Carey","We Belong Together",2005,17.5560,12.1290,3.0500,4.6340,1.1010
259,"Daniel Powter","Bad Day",2005,17.5390,8.8480,3.0670,6.1940,3.0000
260,"Four Non Blondes","What's Up?",1993,17.5090,4.1080,4.1010,20.5050,1.8110
261,"Janet Jackson","That's the Way Love Goes",1993,17.4950,7.3040,6.6250,4.2690,2.8600
262,Queen,"Another One Bites the Dust",1980,17.4810,13.7780,4.9960,7.7580,0.5360
263,"Carly Rae Jepsen","Call Me Maybe",2012,17.4700,7.7460,6.0000,4.4440,0.0000
264,"J Geils Band",Centrefold,1982,17.4280,11.2470,7.9190,4.1800,0.5290
265,"Nelly Furtado & Timbaland",Promiscuous,2006,17.4240,8.3930,5.5330,6.4500,1.0560
266,"Patrick Hernandez","Born to Be Alive",1979,17.4200,4.1940,9.0500,19.0930,0.5410
267,"Culture Beat","Mr Vain",1993,17.4190,2.8970,6.3430,18.7880,1.5770
268,U2,"With Or Without You",1987,17.4020,10.3260,5.3850,9.0730,0.7000
269,Rihanna,"Don't Stop the Music",2007,17.3750,4.7510,3.3330,16.6770,0.5230
270,Seal,"Kiss From a Rose",1995,17.3710,9.8270,3.8010,4.5300,1.2330
271,"Bon Jovi",Always,1994,17.3710,5.3160,5.1700,13.6100,1.9930
272,"Bryan Adams","Please Forgive Me",1993,17.3690,3.3900,7.8120,13.4880,1.8290
273,"Pat Boone","Speedy Gonzales",1962,17.3670,2.9330,3.5740,10.2820,0.5210
274,"Tears For Fears",Shout,1985,17.3670,6.4130,9.3840,14.4320,0.5160
275,"Bonnie Tyler","Total Eclipse of the Heart",1983,17.3360,6.3710,13.2510,7.7960,0.5210
276,Wham!,"Wake Me Up Before You Go Go",1984,17.3230,6.2880,10.5690,12.9180,0.5210
277,"The Crew-Cuts","Sh-Boom (Life Could Be a Dream)",1954,17.3100,10.1180,3.4790,1.8940,0.5770
278,"Green Day","Boulevard of Broken Dreams",2005,17.2870,11.5580,1.2280,6.8040,1.8360
279,"The Beatles","Yellow Submarine",1966,17.2380,8.0790,12.5020,9.2920,0.0000
280,"Bill Medley & Jennifer Warnes","(I've Had) the Time of My Life",1987,17.2360,8.9220,8.6710,6.1820,0.8330
281,"Bon Jovi","Blaze of Glory",1990,17.1950,7.7780,5.6880,8.1700,1.7320
282,Eminem,Stan,2000,17.1910,3.6810,6.7350,18.8940,0.5560
283,"The Platters","Smoke Gets in Your Eyes",1959,17.1020,5.0390,8.1730,3.4900,0.8330
284,"Lionel Richie","Say You, Say Me",1985,17.0690,9.7930,6.6250,9.7080,0.5670
285,"Mr Big","To Be With You",1992,17.0510,5.0490,6.4790,15.8050,1.7770
286,"Simon & Garfunkel","The Sounds of Silence",1966,17.0330,15.0060,3.6280,3.8730,2.7780
287,"Harry Nilsson","Without You",1972,17.0130,10.7400,13.8490,2.9420,0.6110
288,"Men At Work","Down Under",1982,16.9880,6.9660,12.5420,8.8540,0.0000
289,"Sheryl Crow","All I Wanna Do",1994,16.8680,9.5340,4.7870,4.1850,1.7980
290,Rednex,"Cotton Eye Joe",1994,16.8650,3.8250,4.9260,17.2560,1.6230
291,"The Rolling Stones","Jumpin' Jack Flash",1968,16.8620,11.3710,8.6160,9.0520,0.5130
